Date,equity.precios.diarios,equity.retornos.diarios,market.precios.diarios,market.retornos.diarios,riskfree.retornos.diarios
15/05/2012,541.54,-0.009046612,1330.66,-0.005745881,0.0178
16/05/2012,534.6,-0.012817036,1324.8,-0.00440383,0.0176
17/05/2012,518.97,-0.029226487,1304.86,-0.015051329,0.017
18/05/2012,519.23,0.000490455,1295.22,-0.007387766,0.017
21/05/2012,549.48,0.058260115,1315.99,0.016035886,0.0174
22/05/2012,545.26,-0.007678877,1316.63,0.000486326,0.0179
23/05/2012,558.56,0.024399878,1318.86,0.001693718,0.0172
24/05/2012,553.43,-0.00918396,1320.68,0.00137998,0.0176
25/05/2012,550.47,-0.005359796,1317.82,-0.002165551,0.0175
29/05/2012,560.24,0.017748848,1332.42,0.011078903,0.0173
30/05/2012,566.99,0.012057246,1313.32,-0.014334819,0.0162
31/05/2012,565.58,-0.002486317,1310.33,-0.002276673,0.0158
01/06/2012,549.19,-0.028975473,1278.04,-0.024642647,0.0147
04/06/2012,552.43,0.005882458,1278.18,0.000109543,0.0153
05/06/2012,551,-0.002587322,1285.5,0.005726893,0.0156
06/06/2012,559.44,0.015333227,1315.13,0.023049397,0.0165
07/06/2012,559.7,0.000454975,1314.99,-0.000106453,0.0165
08/06/2012,568.12,0.015042328,1325.66,0.00811413,0.0164
11/06/2012,559.16,-0.015767163,1308.93,-0.012620129,0.016
12/06/2012,564.05,0.008736453,1324.18,0.011650738,0.0166
13/06/2012,560.13,-0.006942516,1314.88,-0.007023214,0.016
14/06/2012,559.51,-0.001101091,1329.1,0.010814675,0.0161
15/06/2012,562.06,0.004549193,1342.84,0.010337823,0.0159
18/06/2012,573.46,0.020291572,1344.78,0.001444699,0.0158
19/06/2012,575.06,0.002782615,1357.98,0.009815732,0.0162
20/06/2012,573.42,-0.002842989,1355.69,-0.001686328,0.0164
21/06/2012,565.52,-0.013777444,1325.51,-0.022261727,0.0162
22/06/2012,569.86,0.007668738,1335.02,0.007174597,0.0167
25/06/2012,558.77,-0.01946401,1313.72,-0.015954817,0.0161
26/06/2012,560,0.002207544,1319.99,0.004772707,0.0163
27/06/2012,562.42,0.004317955,1331.85,0.008984917,0.0162
28/06/2012,557.09,-0.00948651,1329.04,-0.002109847,0.0158
29/06/2012,571.72,0.026271857,1362.16,0.024920243,0.0166
02/07/2012,580.06,0.014589041,1365.51,0.002459329,0.0158
03/07/2012,586.81,0.011628299,1374.02,0.006232104,0.0163
05/07/2012,597.12,0.017567274,1367.58,-0.004686977,0.016
06/07/2012,593.14,-0.006656392,1354.68,-0.009432721,0.0154
09/07/2012,600.98,0.01322044,1352.46,-0.001638763,0.0151
10/07/2012,595.42,-0.009252472,1341.47,-0.008125933,0.015
11/07/2012,591.72,-0.006214959,1341.45,-1.49E-05,0.015
12/07/2012,586.31,-0.009149116,1334.76,-0.004987141,0.0148
13/07/2012,592.25,0.010135248,1356.78,0.016497348,0.015
16/07/2012,594.15,0.003206771,1353.64,-0.002314303,0.0146
17/07/2012,594.18,4.94E-05,1363.67,0.007409651,0.015
18/07/2012,593.51,-0.001120374,1372.78,0.006680502,0.0148
19/07/2012,601.4,0.013294626,1376.51,0.002717114,0.0151
20/07/2012,591.59,-0.016310718,1362.66,-0.010061678,0.0146
23/07/2012,591.13,-0.000777759,1350.52,-0.008909046,0.0143
24/07/2012,588.29,-0.004819237,1338.31,-0.009040962,0.014
25/07/2012,562.88,-0.043183785,1337.89,-0.000313829,0.0141
26/07/2012,562.79,-0.00015653,1360.02,0.016540971,0.0143
27/07/2012,572.86,0.017881993,1385.97,0.019080602,0.0155
30/07/2012,582.52,0.016867182,1385.3,-0.000483416,0.015
31/07/2012,597.92,0.026435642,1379.32,-0.004316754,0.0149
01/08/2012,594.05,-0.006467352,1375.32,-0.00289998,0.0154
02/08/2012,595.01,0.001615003,1365,-0.007503708,0.0148
03/08/2012,602.75,0.013014364,1390.99,0.019040293,0.0158
06/08/2012,609.46,0.011125548,1394.23,0.002329276,0.0156
07/08/2012,607.86,-0.002634327,1401.35,0.005106761,0.0163
08/08/2012,606.83,-0.001691066,1402.22,0.00062083,0.0164
09/08/2012,610.29,0.001403543,1402.8,0.00041363,0.0169
10/08/2012,611.24,0.001562676,1405.87,0.00218848,0.0165
13/08/2012,619.4,0.013350491,1404.11,-0.001251894,0.0165
14/08/2012,621.06,0.00268254,1403.93,-0.000128195,0.0173
15/08/2012,620.22,-0.001361427,1405.53,0.001139658,0.018
16/08/2012,625.64,0.008734524,1415.51,0.007100524,0.0184
17/08/2012,637.21,0.018496401,1418.16,0.001872117,0.0182
20/08/2012,653.96,0.026291833,1418.13,-2.12E-05,0.0181
21/08/2012,645.02,-0.01366609,1413.17,-0.003497564,0.018
22/08/2012,657.62,0.019525653,1413.49,0.000226441,0.0172
23/08/2012,651.48,-0.009329167,1402.08,-0.008072218,0.0167
24/08/2012,652.06,0.000890391,1411.13,0.006454696,0.0168
27/08/2012,664.31,0.018787129,1410.44,-0.00048897,0.0165
28/08/2012,663.45,-0.001302392,1409.3,-0.000808258,0.0163
29/08/2012,662.14,-0.001970954,1410.49,0.000844391,0.0165
30/08/2012,652.7,-0.014254532,1399.48,-0.007805798,0.0162
31/08/2012,654.05,0.002063657,1406.58,0.005073313,0.0156
04/09/2012,663.62,0.0146263,1404.94,-0.001165949,0.0158
05/09/2012,658.96,-0.007022534,1403.44,-0.001067661,0.0159
06/09/2012,664.89,0.009011832,1432.12,0.020435501,0.0167
07/09/2012,668.99,0.006166176,1437.92,0.00404994,0.0166
10/09/2012,651.59,-0.02601258,1429.08,-0.006147769,0.0168
11/09/2012,649.48,-0.003244108,1433.56,0.003134884,0.017
12/09/2012,658.52,0.013926944,1436.56,0.002092692,0.0176
13/09/2012,671.49,0.01969274,1459.99,0.016309796,0.0176
14/09/2012,679.65,0.012152625,1465.77,0.003958931,0.0187
17/09/2012,688.01,0.012296031,1461.19,-0.003124638,0.0184
18/09/2012,690.1,0.003043814,1459.32,-0.001279779,0.0181
19/09/2012,690.29,0.00027069,1461.05,0.001185484,0.0178
20/09/2012,686.95,-0.004842615,1460.26,-0.000540707,0.0178
21/09/2012,688.31,0.001989409,1460.15,-7.53E-05,0.0176
24/09/2012,679.17,-0.013284006,1456.89,-0.002232647,0.0172
25/09/2012,662.21,-0.02497141,1441.59,-0.010501822,0.0168
26/09/2012,653.99,-0.012412032,1433.32,-0.005736721,0.0162
27/09/2012,669.86,0.024264109,1447.15,0.009648927,0.0164
28/09/2012,655.88,-0.02087125,1440.67,-0.004477767,0.0164
01/10/2012,648.3,-0.011557488,1444.49,0.002651544,0.0162
02/10/2012,650.19,0.002911782,1445.75,0.00087228,0.0162
03/10/2012,660.15,0.015333202,1450.99,0.003624416,0.0162
04/10/2012,655.58,-0.006925311,1461.4,0.007174412,0.0166
05/10/2012,641.61,-0.021310738,1460.93,-0.000321609,0.0173
08/10/2012,627.43,-0.022096569,1455.88,-0.003456702,0.0175
09/10/2012,625.15,-0.003635395,1441.48,-0.009890925,0.0172
10/10/2012,630.13,0.007957852,1432.56,-0.006188084,0.0169
11/10/2012,617.53,-0.019987206,1432.84,0.000195454,0.0167
12/10/2012,619.12,0.002563286,1428.59,-0.002966137,0.0166
15/10/2012,624.08,0.008019565,1440.13,0.008077895,0.0166
16/10/2012,638.86,0.023678241,1454.92,0.010269906,0.0172
17/10/2012,633.77,-0.007971806,1460.91,0.004117065,0.0181
18/10/2012,622,-0.018569368,1457.34,-0.002443682,0.0183
19/10/2012,599.58,-0.036039454,1433.19,-0.016571287,0.0177
22/10/2012,623.36,0.039666142,1433.82,0.000439579,0.018
23/10/2012,603.04,-0.032600981,1413.11,-0.014443933,0.0176
24/10/2012,606.45,0.005657363,1408.75,-0.003085393,0.0177
25/10/2012,599.29,-0.011818491,1412.97,0.002995563,0.0183
26/10/2012,593.84,-0.009088821,1411.94,-0.000728961,0.0175
31/10/2012,585.31,-0.014370861,1412.16,0.000155814,0.0169
01/11/2012,586.5,0.002049318,1427.59,0.010926524,0.0172
02/11/2012,567.1,-0.033090824,1414.2,-0.009379444,0.0173
05/11/2012,574.79,0.013557559,1417.26,0.002163768,0.0168
06/11/2012,573.05,-0.003027608,1428.39,0.007853181,0.0174
07/11/2012,551.12,-0.042635326,1394.53,-0.023705011,0.0163
08/11/2012,531.12,-0.036290323,1377.51,-0.012204829,0.0163
09/11/2012,540.31,0.017312878,1379.85,0.001698717,0.0161
12/11/2012,536.14,-0.007732241,1380.03,0.000130449,0.0161
13/11/2012,536.21,0.000128954,1374.53,-0.003985421,0.0159
14/11/2012,530.26,-0.011088598,1355.49,-0.013852008,0.0159
15/11/2012,519.14,-0.020973029,1353.33,-0.00159352,0.0159
16/11/2012,521.17,0.003919181,1359.88,0.004839913,0.0157
19/11/2012,558.75,0.072108096,1386.89,0.019862047,0.0161
20/11/2012,553.99,-0.008519965,1387.81,0.000663355,0.0166
21/11/2012,554.77,0.001408426,1391.03,0.002320202,0.0169
23/11/2012,564.45,0.017447036,1409.15,0.013026319,0.0169
26/11/2012,582.26,0.031548556,1406.29,-0.002029592,0.0166
27/11/2012,577.57,-0.008057266,1398.94,-0.005226518,0.0164
28/11/2012,575.75,-0.003146482,1409.93,0.007855948,0.0162
29/11/2012,582.09,0.01101314,1415.95,0.004269716,0.0162
30/11/2012,578.06,-0.006922764,1416.18,0.000162435,0.0161
03/12/2012,578.96,0.001554811,1409.46,-0.00474516,0.0163
04/12/2012,568.75,-0.017639332,1407.05,-0.001709875,0.0161
05/12/2012,532.15,-0.064357037,1409.28,0.001584876,0.0159
06/12/2012,540.49,0.01568329,1413.94,0.003306653,0.0158
07/12/2012,526.67,-0.025564652,1418.07,0.002920916,0.0163
10/12/2012,523.29,-0.006432255,1418.55,0.000338488,0.0162
11/12/2012,534.71,0.021837605,1427.84,0.006548941,0.0165
12/12/2012,532.35,-0.004414563,1428.48,0.000448229,0.017
13/12/2012,523.16,-0.017272727,1419.45,-0.006321405,0.0173
14/12/2012,503.5,-0.037569144,1413.58,-0.004135405,0.0171
17/12/2012,512.43,0.017732792,1430.36,0.01187057,0.0176
18/12/2012,527.32,0.029046123,1446.79,0.011486619,0.0183
19/12/2012,519.82,-0.014216145,1435.81,-0.007589215,0.018
20/12/2012,515.3,-0.008702096,1443.69,0.005488191,0.018
21/12/2012,512.93,-0.004600081,1430.15,-0.009378745,0.0175
24/12/2012,513.76,0.001617469,1426.66,-0.002440303,0.0177
26/12/2012,506.67,-0.013783955,1419.83,-0.004787406,0.0176
27/12/2012,508.71,0.004015595,1418.1,-0.001218456,0.0172
28/12/2012,503.31,-0.010620122,1402.43,-0.011049996,0.0171
31/12/2012,525.61,0.044310132,1426.19,0.016942022,0.0176
