"","equity.precios.diarios","equity.retornos.diarios","market.precios.diarios","market.retornos.diarios","riskfree.retornos.diarios"
"2012-10-03",655.82,0.0153332022803225,1450.99,0.00362441639287558,0.0162
"2012-10-04",651.28,-0.00692531089433335,1461.4,0.00717441195321822,0.0166
"2012-10-05",637.4,-0.0213107378524294,1460.93,-0.000321609415628865,0.0173
"2012-10-08",623.32,-0.0220965690556093,1455.88,-0.00345670223761574,0.0175
"2012-10-09",621.05,-0.00363539495745635,1441.48,-0.00989092507624256,0.0172
"2012-10-10",626,0.00795785169458196,1432.56,-0.00618808446874053,0.0169
"2012-10-11",613.48,-0.0199872056919067,1432.84,0.000195454291617825,0.0167
"2012-10-12",615.06,0.00256328610093925,1428.59,-0.00296613718209993,0.0166
"2012-10-15",619.99,0.00801956456146469,1440.13,0.00807789498736522,0.0166
"2012-10-16",634.67,0.0236782405948706,1454.92,0.0102699061890246,0.0172
"2012-10-17",629.61,-0.00797180627587368,1460.91,0.00411706485579955,0.0181
"2012-10-18",617.92,-0.0185693675245497,1457.34,-0.00244368236236325,0.0183
"2012-10-19",595.65,-0.0360394537177541,1433.19,-0.0165712874140557,0.0177
"2012-10-22",619.28,0.0396661419388691,1433.82,0.000439578841604948,0.018
"2012-10-23",599.09,-0.0326009810261344,1413.11,-0.0144439329901941,0.0176
"2012-10-24",602.48,0.00565736272335982,1408.75,-0.00308539321071954,0.0177
"2012-10-25",595.36,-0.0118184913185158,1412.97,0.00299556344276852,0.0183
"2012-10-26",589.94,-0.00908882107819009,1411.94,-0.000728960982894211,0.0175
"2012-10-31",581.47,-0.0143708609271522,1412.16,0.000155813986429942,0.0169
"2012-11-01",582.66,0.00204931801384123,1427.59,0.0109265239066394,0.0172
"2012-11-02",563.38,-0.0330908237502934,1414.2,-0.00937944367780652,0.0173
"2012-11-05",571.02,0.0135575589459085,1417.26,0.00216376750106062,0.0168
"2012-11-06",569.29,-0.00302760767678145,1428.39,0.00785318149104608,0.0174
"2012-11-07",547.5,-0.0426353264133139,1394.53,-0.0237050105363382,0.0163
"2012-11-08",527.63,-0.0362903225806451,1377.51,-0.0122048288670735,0.0163
"2012-11-09",536.77,0.0173128777312876,1379.85,0.00169871725069148,0.0161
"2012-11-12",532.62,-0.00773224143603979,1380.03,0.000130448961843666,0.0161
"2012-11-13",532.69,0.000128953816111776,1374.53,-0.00398542060679841,0.0159
"2012-11-14",526.78,-0.0110885982685577,1355.49,-0.0138520075953235,0.0159
"2012-11-15",515.73,-0.0209730293547906,1353.33,-0.00159351968660781,0.0159
"2012-11-16",517.75,0.00391918115749013,1359.88,0.00483991339880152,0.0157
"2012-11-19",555.09,0.0721080958156459,1386.89,0.0198620466511752,0.0161
"2012-11-20",550.36,-0.00851996535449784,1387.81,0.000663354700084273,0.0166
"2012-11-21",551.13,0.00140842559412402,1391.03,0.00232020233317254,0.0169
"2012-11-23",560.75,0.0174470357842265,1409.15,0.0130263186272044,0.0169
"2012-11-26",578.44,0.0315485564304461,1406.29,-0.0020295923074195,0.0166
"2012-11-27",573.78,-0.00805726595762724,1398.94,-0.00522651800126572,0.0164
"2012-11-28",571.97,-0.00314648243783977,1409.93,0.00785594807497114,0.0162
"2012-11-29",578.27,0.0110131402888805,1415.95,0.00426971551779176,0.0162
"2012-11-30",574.27,-0.00692276367585187,1416.18,0.000162435114234194,0.0161
"2012-12-03",575.16,0.00155481137233471,1409.46,-0.0047451595136212,0.0163
"2012-12-04",565.02,-0.0176393319572153,1407.05,-0.00170987470378736,0.0161
"2012-12-05",528.66,-0.0643570374229401,1409.28,0.00158487615934044,0.0159
"2012-12-06",536.95,0.0156832903357524,1413.94,0.00330665304268862,0.0158
"2012-12-07",523.22,-0.0255646517067466,1418.07,0.00292091602189615,0.0163
"2012-12-10",519.85,-0.0064322550398499,1418.55,0.000338488226956368,0.0162
"2012-12-11",531.21,0.0218376052244158,1427.84,0.00654894081985113,0.0165
"2012-12-12",528.86,-0.0044145625150076,1428.48,0.000448229493500651,0.017
"2012-12-13",519.73,-0.0172727272727272,1419.45,-0.0063214045698925,0.0173
"2012-12-14",500.2,-0.0375691442164285,1413.58,-0.00413540455810357,0.0171
"2012-12-17",509.07,0.0177327919339336,1430.36,0.0118705697590515,0.0176
"2012-12-18",523.86,0.0290461230075361,1446.79,0.0114866187533209,0.0183
"2012-12-19",516.41,-0.0142161453455704,1435.81,-0.00758921474436514,0.018
"2012-12-20",511.92,-0.00870209572305281,1443.69,0.00548819133450817,0.018
"2012-12-21",509.56,-0.0046000805014087,1430.15,-0.00937874474437028,0.0175
"2012-12-24",510.39,0.00161746866154444,1426.66,-0.0024403034646715,0.0177
"2012-12-26",503.35,-0.0137839552454004,1419.83,-0.00478740554862411,0.0176
"2012-12-27",505.37,0.00401559454191025,1418.1,-0.00121845573061563,0.0172
"2012-12-28",500,-0.0106201219275424,1402.43,-0.0110499964741555,0.0171
"2012-12-31",522.16,0.0443101316744834,1426.19,0.0169420220617071,0.0176
